# data/locations.csv
city,latitude,longitude,country,timezone
London,51.5074,-0.1278,UK,Europe/London
New York,40.7128,-74.0060,USA,America/New_York
Tokyo,35.6762,139.6503,Japan,Asia/Tokyo
Sydney,-33.8688,151.2093,Australia,Australia/Sydney
Paris,48.8566,2.3522,France,Europe/Paris
Berlin,52.5200,13.4050,Germany,Europe/Berlin
Singapore,1.3521,103.8198,Singapore,Asia/Singapore
Mumbai,19.0760,72.8777,India,Asia/Kolkata
Dubai,25.2048,55.2708,UAE,Asia/Dubai
Rio de Janeiro,-22.9068,-43.1729,Brazil,America/Sao_Paulo
Cape Town,-33.9249,18.4241,South Africa,Africa/Johannesburg
Moscow,55.7558,37.6173,Russia,Europe/Moscow
Toronto,43.6532,-79.3832,Canada,America/Toronto
Beijing,39.9042,116.4074,China,Asia/Shanghai
Amsterdam,52.3676,4.9041,Netherlands,Europe/Amsterdam
